Name,Sockets,Radiator,Price
Alphacool Eisbaer Aurora LT240 Processor Digital RGB,"1056, sWRX , 1700, 1200, 1150, 1151, 1155, 2011-V3, 2011, 2066, 775, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1, SP3, sTRX4, TR4, AM5",240mm,222.25
Alphacool Eisbaer Aurora LT360 Processor Digital RGB,"sWRX , 1700, 1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, 775, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1, SP3, sTRX4, TR4, AM5",360mm,222.25
Alphacool Eisbaer Aurora Pro HPE Edition Digital RGB Komplett Wasserkühlung - 360 mm,"4189, 3647, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4, SP3, sWRX8, sTRX4, TR4",360mm,NULL
Alphacool Eisbaer Extreme Liquid Processor Cooler 280 - Black Edition,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM3, AM3+, AM4, FM1, FM2, FM2+, TR4, sTRX4, AM5, 1700",280mm,NULL
"Alphacool Eisbaer Pro Aurora 240 Processor , D-RGB","2011-V3, 2011, 3647, 2066, AM4, SP3, sWRX8, sTRX4, TR4, AM5, 1700",240mm,222.25
"Alphacool Eisbaer Pro Aurora 360 Processor , D-RGB","2011-V3, 2011, 3647, 2066, AM4, SP3, sWRX8, sTRX4, TR4, AM5, 1700",360mm,222.25
"Alphacool Eisbaer Pro Aurora 420 Processor , D-RGB","TRX40, 1700, 2011-V3, 4189, 3647, 2066, AM4, SP3, sWRX8, sTRX4, TR4, AM5",420mm,222.25
Antec  K240,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",240mm,NULL
Antec A30  - 92mm,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",NULL,42.62
Antec A40 PRO  - 92mm,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",NULL,42.62
Antec A400 RGB Processor Kühler,"AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",NULL,NULL
Antec C40  - 92mm,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",NULL,NULL
Antec C400  - 120mm,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",NULL,NULL
Antec Mercury 120,"1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, TR4",120mm,NULL
Arctic Alpine 11 GT Rev. 2,"775, 1155, 1156, 1150",NULL,11.99
Arctic Alpine 11 passiv,"1150, 1151, 1155, 1156",NULL,11.99
Arctic Alpine 12  - 92mm,"1150, 1151, 1155, 1156",NULL,11.99
Arctic Alpine 12 CO  - 92mm,"1150, 1151, 1155, 1156",NULL,12.99
Arctic Alpine 12 LP Low-Profile  - 92mm,"1150, 1151, 1155, 1156",NULL,NULL
Arctic Alpine 12 passiver  - black,"1150, 1151, 1155, 1156",NULL,NULL
ARCTIC Alpine 17,1700,mm,11.99
