Name,Size,Watt,Price
ASUS ROG Strix 650G 80 PLUS Gold,ATX,650W,13234.27
ASUS ROG Strix 750G 80 PLUS Gold,ATX,750W,13234.27
ASUS ROG STRIX 750W GOLD (16-pin cable),ATX,750W,NULL
ASUS ROG Strix 750W Gold Aura Edition,ATX,750W,18405.62
ASUS ROG Strix 850W Gold Aura Edition,ATX,850W,18405.62
ASUS ROG STRIX-1000P-GAMING,ATX,1000W,22349.87
ASUS ROG THOR 1000P2-GAMING,ATX,1000W,83258.74
ASUS ROG THOR 1000W Platinum II EVA Edition,ATX,1000W,NULL
ASUS ROG THOR 1200W Platinum II,ATX,1200W,83258.74
ASUS ROG THOR 1600W Titanium,ATX,1600W,NULL
ASUS ROG Thor 80 PLUS Platinum,ATX,850W,18940.29
ASUS ROG Thor 80 PLUS Platinum,ATX,1200W,18940.29
ASUS ROG Thor 850W Platinum II,ATX,850W,NULL
ASUS ROG-THOR-1000P2-EVA-GAMING,ATX,1000W,83258.74
ASUS ROG-THOR-1600T-GAMING,ATX,1600W,83258.74
ASUS TUF Gaming 1000W Gold,ATX,1000W,17090.87
ASUS TUF Gaming 1000W Gold,ATX,1000W,17090.87
ASUS TUF Gaming 1000W Gold White Edition,ATX,1000W,NULL
ASUS TUF GAMING 1200W Gold,ATX,1200W,19106.82
ASUS TUF Gaming 650B 80 PLUS Bronze,ATX,650W,NULL
ASUS TUF Gaming 750W Gold,ATX,750W,10517.12
ASUS TUF Gaming 850W Gold,ATX,850W,12270.12
ASUS TUF-GAMING-1200G,ATX,1200W,19106.82
ASUS TUF-GAMING-750G,ATX,750W,10517.12
ASUS TUF-GAMING-850G,ATX,850W,12270.12
be quiet! BN337,ATX,850W,NULL
be quiet! BN338,ATX,1000W,NULL
be quiet! BN340,ATX,1500W,NULL
be quiet! Dark Power 12,ATX,1000W,15768.24
be quiet! Dark Power 12,ATX,850W,15768.24
be quiet! Dark Power 12,ATX,750W,15768.24
be quiet! Dark Power 13,ATX,850W,15768.24
be quiet! Dark Power 13,ATX,750W,15768.24
be quiet! Dark Power 13,ATX,1000W,15768.24
be quiet! Dark Power Pro 12,ATX,1200W,35050.36
be quiet! Dark Power Pro 12,ATX,1500W,35050.36
be quiet! Dark Power Pro 13 | 1300W,ATX,1300W,35050.36
be quiet! Dark Power Pro 13 | 1600W,ATX,1600W,35050.36
be quiet! Dark Power Pro P11 modular,ATX,650W,35050.36
be quiet! Dark Power Pro P11 modular,ATX,550W,35050.36
be quiet! Power Zone,ATX,1000W,11385.74
be quiet! Power Zone,ATX,850W,11385.74
be quiet! POWER ZONE 2 1000W,ATX,1000W,11385.74
be quiet! POWER ZONE 2 750W,ATX,750W,11385.74
be quiet! POWER ZONE 2 850W,ATX,850W,11385.74
"be quiet! Power Zone, 80 PLUS Bronze",ATX,650W,11385.74
"be quiet! Power Zone, 80 PLUS Bronze",ATX,750W,11385.74
be quiet! Pure Power 10,ATX,700W,12954.67
be quiet! Pure Power 10,ATX,600W,12954.67
be quiet! Pure Power 10,ATX,400W,12954.67
be quiet! Pure Power 10,ATX,350W,12954.67
be quiet! Pure Power 10,ATX,300W,12954.67
be quiet! Pure Power 10,ATX,500W,12954.67
be quiet! Pure Power 10 CM,ATX,700W,14118.66
be quiet! Pure Power 10 CM,ATX,600W,14118.66
