Name,Size,Watt,Price
Antec High Current Gamer HCG-620M,ATX,620W,
Antec High Current Gamer HCG-750M,ATX,750W,
Antec High Current Gamer HCG-850M,ATX,850W,
Antec High Current Gamer HCG650 80 PLUS Gold,ATX,650W,
Antec High Current Gamer HCG750 80 PLUS Gold,ATX,750W,
Antec High Current Gamer HCG850 80Plus Gold,ATX,850W,
Antec High Current Pro HCP-1000 Platinum,ATX,1000W,
Antec High Current Pro HCP-1300 Platinum,ATX,1300W,
Antec High Current Pro HCP-850 Platinum,ATX,850W,
Antec NE450M EC Semi Modular,ATX,450W,
Antec NE550M EC Semi Modular,ATX,550W,
Antec NE650M EC Semi Modular,ATX,650W,
Antec True Power TP550C,ATX,550W,
Antec True Power TP650C,ATX,650W,
Antec True Power TP750C,ATX,750W,
Antec VP Strictly Power,ATX,450W,
ASUS 90YE00A1-B0EA00,ATX,600W,
ASUS AP-850G,ATX,850W,
ASUS Prime -750B-BLACK,ATX,750W,
ASUS Prime 750W Gold ( AP-750G ),ATX,750W,
ASUS Prime 850W Gold ( AP-850G ),ATX,850W,
ASUS Prime 850W Gold ( AP-850G ),ATX,850W,
ASUS Prime AP-750G,ATX,750W,
ASUS ROG -LOKI-1000P-SFX-L-GAMING,ATX,1000W,
ASUS ROG -LOKI-1200T-SFX-L-GAMING,SFX-L,1200W,
ASUS ROG -STRIX-1000G-AURA-WHITE-GAMING,ATX,1000W,
ASUS ROG -STRIX-1000P-GAMING-WHITE,ATX,1000W,
ASUS ROG -STRIX-1200P-GAMING,ATX,1200W,
ASUS ROG -STRIX-550G,ATX,550W,
ASUS ROG -STRIX-850P-GAMING,ATX,850W,
ASUS ROG -THOR-1000P3-GAMING,ATX,1000W,
ASUS ROG -THOR-1200P3-GAMING,ATX,1200W,
ASUS ROG -THOR-1600T3-GAMING,ATX,1600W,
ASUS ROG Loki SFX-L 1000W Platinum,SFX,1000W,
ASUS ROG Loki SFX-L 750W Platinum,SFX,750W,
