Name,Size,Type,Price
Corsair Vengeance RGB Pro black,32 GB,DDR4-3000,
Corsair Vengeance RGB Pro black,64 GB,DDR4-3200,
Corsair Vengeance RGB Pro black,64 GB,DDR4-3600,
Corsair Vengeance RGB Pro Series black,32 GB,DDR4-3733,
Corsair Vengeance RGB Pro Series black,32 GB,DDR4-4266,
Corsair Vengeance RGB Pro Series black,16 GB,DDR4-3200,
Corsair Vengeance RGB Pro Series black,16 GB,DDR4-3000,
Corsair Vengeance RGB Pro Series black,32 GB,DDR4-2666,
Corsair Vengeance RGB Pro Series black,16 GB,DDR4-2933,
Corsair Vengeance RGB Pro Series black,32 GB,DDR4-2933,
Corsair Vengeance RGB Pro Series black,16 GB,DDR4-2666,
Corsair Vengeance RGB Pro Series black,16 GB,DDR4-4000,
Corsair Vengeance RGB Pro Series black,32 GB,DDR4-3600,
Corsair Vengeance RGB Pro Series black,32 GB,DDR4-2666,
Corsair Vengeance RGB Pro Series black,32 GB,DDR4-3000,
Corsair Vengeance RGB Pro Series black,32 GB,DDR4-2933,
Corsair Vengeance RGB Pro Series black,32 GB,DDR4-3200,
Corsair Vengeance RGB Pro Series black,32 GB,DDR4-3000,
Corsair Vengeance RGB Pro Series black,32 GB,DDR4-3200,
Corsair Vengeance RGB Pro Series black,64 GB,DDR4-2666,
Corsair Vengeance RGB Pro Series black,64 GB,DDR4-3000,
Corsair Vengeance RGB Pro Series black,64 GB,DDR4-3200,
Corsair Vengeance RGB Pro Series black,64 GB,DDR4-2933,
Corsair Vengeance RGB Pro Series black,64 GB,DDR4-3466,
Corsair Vengeance RGB Pro Series black,64 GB,DDR4-3600,
Corsair Vengeance RGB Pro Series white,64 GB,DDR4-2666,
Corsair Vengeance RGB Pro Series white,64 GB,DDR4-3000,
Corsair Vengeance RGB Pro Series white,64 GB,DDR4-3466,
Corsair Vengeance RGB Pro Series white,64 GB,DDR4-3000,
Corsair Vengeance RGB Pro Series white,16 GB,DDR4-3000,
Corsair Vengeance RGB Pro Series white,16 GB,DDR4-2666,
Corsair Vengeance RGB Pro Series white,32 GB,DDR4-3200,
Corsair Vengeance RGB Pro Series white,32 GB,DDR4-2666,
Corsair Vengeance RGB Pro Series white,32 GB,DDR4-3600,
Corsair Vengeance RGB Pro Series white,32 GB,DDR4-3200,
Corsair Vengeance RGB Pro Series white,32 GB,DDR4-3000,
Corsair Vengeance RGB Pro Series white,32 GB,DDR4-2666,
Corsair Vengeance RGB Pro Series white,32 GB,DDR4-3000,
Corsair Vengeance RGB Pro Series white,64 GB,DDR4-2666,
Corsair Vengeance RGB Pro Series white,64 GB,DDR4-3200,
Corsair Vengeance RGB Pro Series white,64 GB,DDR4-3200,
Corsair Vengeance RGB Pro Series white,64 GB,DDR4-3600,
Corsair Vengeance RGB Pro Series white,64 GB,DDR4-3600,
Corsair Vengeance RGB Pro SL,128 GB,DDR4-3200,
Corsair Vengeance RGB Pro SL,16 GB,DDR4-3600,
Corsair Vengeance RGB Pro SL,16 GB,DDR4-3200,
Corsair Vengeance RGB Pro SL,16 GB,DDR4-3600,
Corsair Vengeance RGB Pro SL,16 GB,DDR4-3200,
Corsair Vengeance RGB Pro SL,32 GB,DDR4-3200,
Corsair Vengeance RGB Pro SL,32 GB,DDR4-3600,
Corsair Vengeance RGB Pro SL,32 GB,DDR4-3200,
Corsair Vengeance RGB Pro SL,32 GB,DDR4-3600,
Corsair Vengeance RGB Pro SL,32 GB,DDR4-3600,
Corsair Vengeance RGB Pro SL,32 GB,DDR4-3200,
Corsair Vengeance RGB Pro SL DDR4-3200,32 GB,DDR4-3200,
Corsair Vengeance RGB Pro SL für AMD Ryzen,16 GB,DDR4-3200,
Corsair Vengeance RGB Pro SL für AMD Ryzen,16 GB,DDR4-3600,
Corsair Vengeance RGB Pro SL für AMD Ryzen,32 GB,DDR4-3600,
Corsair Vengeance RGB Pro SL für AMD Ryzen,32 GB,DDR4-3200,
Corsair Vengeance RGB RS,16 GB,DDR4-3200,
Corsair Vengeance RGB RS,16 GB,DDR4-3600,
Corsair Vengeance RGB RS,32 GB,DDR4-3200,
Corsair Vengeance RGB RS,32 GB,DDR4-3600,
Corsair Vengeance RGB RS,64 GB,DDR4-3200,
Corsair Vengeance RGB RS,64 GB,DDR4-3600,
Corsair Vengeance RGB RS,32 GB,DDR4-3200,
Corsair Vengeance RGB RS,32 GB,DDR4-3600,
Corsair Vengeance RGB RS,64 GB,DDR4-3200,
Corsair Vengeance RGB RS,128 GB,DDR4-3200,
Corsair Vengeance RGB RT,16 GB,DDR4-3600,
Corsair Vengeance RGB RT,16 GB,DDR4-3200,
Corsair Vengeance RGB RT,16 GB,DDR4-3600,
Corsair Vengeance RGB RT,16 GB,DDR4-3600,
Corsair Vengeance RGB RT,16 GB,DDR4-3200,
Corsair Vengeance RGB RT,32 GB,DDR4-3200,
Corsair Vengeance RGB RT,16 GB,DDR4-4000,
Corsair Vengeance RGB RT,32 GB,DDR4-3600,
Corsair Vengeance RGB RT,32 GB,DDR4-3600,
Corsair Vengeance RGB RT,32 GB,DDR4-3200,
Corsair Vengeance RGB RT,32 GB,DDR4-3600,
Corsair Vengeance RGB RT,32 GB,DDR4-3200,
Corsair Vengeance RGB RT,32 GB,DDR4-3600,
Corsair Vengeance RGB RT,64 GB,DDR4-3200,
Corsair Vengeance RGB RT,64 GB,DDR4-3200,
Corsair Vengeance RGB RT,64 GB,DDR4-3600,
Corsair Vengeance RGB RT,32 GB,DDR4-3600,
Corsair Vengeance RGB RT,32 GB,DDR4-3200,
Corsair Vengeance RGB RT,64 GB,DDR4-3200,
Corsair Vengeance RGB RT,64 GB,DDR4-3200,
Corsair Vengeance RGB RT,32 GB,DDR4-4000,
Corsair Vengeance RGB RT,64 GB,DDR4-3600,
Corsair Vengeance RGB RT,32 GB,DDR4-4600,
Corsair Vengeance RGB RT,128 GB,DDR4-3600,
Corsair Vengeance RGB RT,128 GB,DDR4-3200,
Corsair Vengeance RGB Series black,64 GB,DDR4-3333,
Corsair Vengeance RGB Series white,32 GB,DDR4-3200,
Corsair XMS DDR3-1600 CL9   für Core i5/i7,4 GB,DDR3-1600,
Corsair XMS3 DDR3-1333 CL9,8 GB,DDR3-1333,
Corsair XMS3 DDR3-1333 CL9,4 GB,DDR3-1333,
Corsair XMS3 DDR3-1333 CL9,8 GB,DDR3-1333,
Corsair XMS3 DDR3-1333 CL9   für AMD/Core i3/i5/i7,4 GB,DDR3-1333,
Corsair XMS3 DDR3-1600 CL9,8 GB,DDR3-1600,
Corsair — 12GB Triple Channel DDR3 Memory Kit,12 GB,DDR3-2000,
Corsair — 16GB Dual Channel DDR3 Memory Kit,16 GB,DDR3-2133,
Corsair — 16GB Dual Channel DDR3 Memory Kit,16 GB,DDR3-1600,
Corsair — 16GB Dual Channel DDR3 Memory Kit,16 GB,DDR3-1866,
Corsair — 16GB Dual Channel DDR3 Memory Kit,16 GB,DDR3-1866,
Corsair — 16GB Dual Channel DDR3 Memory Kit,16 GB,DDR3-1600,
Corsair — 16GB Dual/Quad Channel DDR3 Memory Kit,16 GB,DDR3-1866,
Corsair — 16GB Dual/Quad Channel DDR3 Memory Kit,16 GB,DDR3-2133,
Corsair — 16GB Dual/Quad Channel DDR3 Memory Kit,16 GB,DDR3-2133,
Corsair — 16GB Dual/Quad Channel DDR3 Memory Kit,16 GB,DDR3-1600,
Corsair — 16GB Dual/Quad Channel DDR3 Memory Kit,16 GB,DDR3-1866,
Corsair — 24GB Triple Channel DDR3 Memory Kit,24 GB,DDR3-1600,
Corsair — 32GB Dual/Quad Channel DDR3 Memory Kit,32 GB,DDR3-1600,
Corsair — 4GB Dual Channel DDR3 Memory Kit,4 GB,DDR3-1600,
Corsair — 4GB Dual Channel DDR3 Memory Kit,4 GB,DDR3-2000,
Corsair — 4GB Single Module DDR3 Memory Kit,4 GB,DDR3-1600,
Corsair — 4GB Single Module DDR3 Memory Kit,4 GB,DDR3-1600,
Corsair — 64GB Quad Channel DDR3 Memory Kit,64 GB,DDR3-1866,
Corsair — 64GB Quad Channel DDR3 Memory Kit,64 GB,DDR3-1600,
Corsair — 8GB 1.5V Dual Channel DDR3 Memory Kit,8 GB,DDR3-2133,
Corsair — 8GB DDR3 Memory Kit,8 GB,DDR3-1866,
Corsair — 8GB DDR3 Memory Kit,8 GB,DDR3-1600,
Corsair — 8GB Dual Channel DDR3 Memory Kit,8 GB,DDR3-1866,
Corsair — 8GB Dual Channel DDR3 Memory Kit,8 GB,DDR3-1600,
Corsair — 8GB Dual Channel DDR3 Memory Kit,8 GB,DDR3-1600,
Corsair — 8GB Dual Channel DDR3 Memory Kit,8 GB,DDR3-1600,
Corsair — 8GB Dual Channel DDR3 Memory Kit,8 GB,DDR3-1600,
Crucial Ballistix Elite DDR3-1600 CL8,8 GB,DDR3-1600,
Crucial Ballistix Elite DDR4-3000 CL15,8 GB,DDR4-3000,
Crucial Ballistix Elite DDR4-3200 CL16,4 GB,DDR4-3200,
Crucial Ballistix Elite series,8 GB,DDR4-4000,
Crucial Ballistix Elite series,16 GB,DDR4-4000,
Crucial Ballistix Elite series,32 GB,DDR4-3600,
"Crucial Ballistix Elite Series DDR4-2666, CL16 - 16 GB Kit",16 GB,DDR4-2666,
"Crucial Ballistix Elite Series DDR4-2666, CL16 - 8 GB Kit",8 GB,DDR4-2666,
"Crucial Ballistix Elite Series, DDR4-3000, CL15 - 8 GB Kit",8 GB,DDR4-3000,
"Crucial Ballistix Elite Series, DDR4-3200, CL16 - 8 GB Kit",8 GB,DDR4-3200,
Crucial Ballistix Max RGB black,32 GB,DDR4-4400,
Crucial Ballistix Sport AT,64 GB,DDR4-2666,
Crucial Ballistix Sport AT,16 GB,DDR4-2666,
Crucial Ballistix Sport AT,16 GB,DDR4-3000,
Crucial Ballistix Sport AT,8 GB,DDR4-2666,
Crucial Ballistix Sport AT,8 GB,DDR4-3000,
Crucial Ballistix Sport AT,16 GB,DDR4-2666,
Crucial Ballistix Sport AT,16 GB,DDR4-2666,
Crucial Ballistix Sport AT,16 GB,DDR4-3000,
Crucial Ballistix Sport AT,32 GB,DDR4-2666,
Crucial Ballistix Sport AT,32 GB,DDR4-2666,
Crucial Ballistix Sport AT,32 GB,DDR4-3000,
Crucial Ballistix Sport AT series,8 GB,DDR4-3200,
Crucial Ballistix Sport AT series,16 GB,DDR4-3200,
Crucial Ballistix Sport AT series,32 GB,DDR4-3200,
Crucial Ballistix Sport AT series,64 GB,DDR4-3200,
Crucial Ballistix Sport LT grey DDR4-2666 CL16,8 GB,DDR4-2666,
Crucial Ballistix Sport LT Series grey,32 GB,DDR4-3000,
Crucial Ballistix Sport LT Series grey,4 GB,DDR4-2400,
Crucial Ballistix Sport LT series grey,8 GB,DDR4-3000,
Crucial Ballistix Sport LT Series grey,8 GB,DDR4-3000,
Crucial Ballistix Sport LT series grey,8 GB,DDR4-3200,
Crucial Ballistix Sport LT Series grey,16 GB,DDR4-2400,
Crucial Ballistix Sport LT series grey,16 GB,DDR4-3000,
Crucial Ballistix Sport LT series grey,16 GB,DDR4-3200,
Crucial Ballistix Sport LT series grey,16 GB,DDR4-3000,
Crucial Ballistix Sport LT Series grey,16 GB,DDR4-3000,
Crucial Ballistix Sport LT Series grey,16 GB,DDR4-3000,
Crucial Ballistix Sport LT series grey,32 GB,DDR4-3000,
Crucial Ballistix Sport LT series grey,32 GB,DDR4-3000,
Crucial Ballistix Sport LT Series grey,32 GB,DDR4-3000,
Crucial Ballistix Sport LT series grey,32 GB,DDR4-3200,
Crucial Ballistix Sport LT series grey,64 GB,DDR4-3000,
Crucial Ballistix Sport LT series grey,64 GB,DDR4-3200,
Crucial Ballistix Sport LT Series grey DDR4-2400,8 GB,DDR4-2400,
Crucial Ballistix Sport LT Series grey DDR4-2400,8 GB,DDR4-2400,
Crucial Ballistix Sport LT Series grey DDR4-2400,16 GB,DDR4-2400,
"Crucial Ballistix Sport LT Series grey DDR4-2400, CL16 - 16 GB Kit",16 GB,DDR4-2400,
Crucial Ballistix Sport LT Series grey DDR4-2666,16 GB,DDR4-2666,
Crucial Ballistix Sport LT Series grey DDR4-2666,16 GB,DDR4-2666,
Crucial Ballistix Sport LT Series grey DDR4-2666,8 GB,DDR4-2666,
Crucial Ballistix Sport LT Series red,4 GB,DDR4-2400,
Crucial Ballistix Sport LT Series red,4 GB,DDR4-2666,
Crucial Ballistix Sport LT Series red,8 GB,DDR4-2666,
Crucial Ballistix Sport LT series red,8 GB,DDR4-3000,
Crucial Ballistix Sport LT series red,8 GB,DDR4-3200,
Crucial Ballistix Sport LT Series red,8 GB,DDR4-2400,
Crucial Ballistix Sport LT Series red,16 GB,DDR4-2666,
Crucial Ballistix Sport LT Series red,16 GB,DDR4-2400,
Crucial Ballistix Sport LT Series red,16 GB,DDR4-2400,
Crucial Ballistix Sport LT Series red,16 GB,DDR4-2666,
Crucial Ballistix Sport LT Series red,16 GB,DDR4-2400,
Crucial Ballistix Sport LT series red,16 GB,DDR4-3000,
Crucial Ballistix Sport LT series red,16 GB,DDR4-3200,
Crucial Ballistix Sport LT series red,16 GB,DDR4-3000,
Crucial Ballistix Sport LT series red,32 GB,DDR4-3000,
Crucial Ballistix Sport LT series red,32 GB,DDR4-3000,
Crucial Ballistix Sport LT series red,32 GB,DDR4-3200,
Crucial Ballistix Sport LT series red,64 GB,DDR4-3000,
Crucial Ballistix Sport LT series red,64 GB,DDR4-3200,
"Crucial Ballistix Sport LT Series red, DDR4-2400, CL16 - 16 GB Kit",16 GB,DDR4-2400,
Crucial Ballistix Sport LT Series white,4 GB,DDR4-2400,
Crucial Ballistix Sport LT series white,8 GB,DDR4-3000,
Crucial Ballistix Sport LT series white,8 GB,DDR4-3200,
Crucial Ballistix Sport LT Series white,16 GB,DDR4-2400,
Crucial Ballistix Sport LT Series white,16 GB,DDR4-2666,
Crucial Ballistix Sport LT series white,16 GB,DDR4-3200,
Crucial Ballistix Sport LT series white,16 GB,DDR4-3000,
Crucial Ballistix Sport LT series white,16 GB,DDR4-3000,
Crucial Ballistix Sport LT series white,32 GB,DDR4-3000,
Crucial Ballistix Sport LT series white,32 GB,DDR4-3000,
Crucial Ballistix Sport LT series white,64 GB,DDR4-3000,
Crucial Ballistix Sport LT Series white DDR4-2400,8 GB,DDR4-2400,
Crucial Ballistix Sport LT Series white DDR4-2400,16 GB,DDR4-2400,
Crucial Ballistix Sport LT Series white DDR4-2400,32 GB,DDR4-2400,
Crucial Ballistix Sport LT white DDR4-2666 CL16,8 GB,DDR4-2666,
"Crucial Ballistix Sport Series DDR4-2400, CL16 - 16 GB Kit",16 GB,DDR4-2400,
Crucial Ballistix Sport XT DDR3-1600 CL9,8 GB,DDR3-1600,
Crucial Ballistix Tactical DDR3-1600 CL8,16 GB,DDR3-1600,
Crucial Ballistix Tactical DDR3-1600 CL8,8 GB,DDR3-1600,
Crucial Ballistix Tactical LP DDR3-1600 CL8,16 GB,DDR3-1600,
Crucial Ballistix Tactical LP DDR3-2133 CL10,8 GB,DDR3-2133,
Crucial Ballistix Tactical Tracer RGB,64 GB,DDR4-2666,
Crucial Ballistix Tactical Tracer RGB,8 GB,DDR4-3200,
Crucial Ballistix Tactical Tracer RGB,32 GB,DDR4-2666,
Crucial Ballistix Tactical Tracer RGB,32 GB,DDR4-2666,
"Crucial Ballistix Tactical, DDR4-3000, CL15 - 8 GB Kit",8 GB,DDR4-3000,
Crucial DDR4-2133 CL15,32 GB,DDR4-2133,
Crucial DDR4-2133 CL15,8 GB,DDR4-2133,
Crucial DDR4-2133 CL15,16 GB,DDR4-2133,
Crucial DDR4-2133 CL15,16 GB,DDR4-2133,
Crucial DDR4-2133 CL15   Reg. ECC,32 GB,DDR4-2133,
Crucial DDR4-2133 CL15   Reg. ECC,16 GB,DDR4-2133,
Crucial DDR4-2133 CL15   Reg. ECC,8 GB,DDR4-2133,
Crucial DDR4-2133 CL15   Reg. ECC,8 GB,DDR4-2133,
Crucial DDR4-2133 CL15   Reg. ECC,16 GB,DDR4-2133,
Crucial DDR4-2133 CL15  U,16 GB,DDR4-2133,
Crucial Value Series DDR4-2133,64 GB,DDR4-2133,
Crucial Value Series DDR4-2400,4 GB,DDR4-2400,
"Crucial Value Series, DDR4-2133, CL15 - 32 GB Kit",32 GB,DDR4-2133,
Dahua Technology DDR-C300U16G26,16 GB,DDR4-2666,
Dahua Technology DDR-C300U8G26,8 GB,DDR4-2666,
Dahua Technology DDR-C600URW32G36D,32 GB,DDR4-3600,
DELL AC027075,16 GB,DDR5-4800,
DELL AC027076,32 GB,DDR5-4800,
DELL AC480725,16 GB,DDR5-5200,
DELL AC480748,32 GB,DDR5-5200,
DELL AC774043,32 GB,DDR5-5600,
DELL AC774044,16 GB,DDR5-5600,
DELL AC774045,8 GB,DDR5-5600,
DELL AC774049,32 GB,DDR5-5600,
DELL AC774050,16 GB,DDR5-5600,
DELL AC958788,16 GB,DDR5-5600,
DELL AC958789,32 GB,DDR5-5600,
DELL SNP4N59RC/16G,16 GB,DDR5-5600,
DELL SNPK7G24C/16G,16 GB,DDR5-4800,
Fujitsu FPCEN923GP,16 GB,DDR5-4800,
Fujitsu PY-ME08UG2,8 GB,DDR4-3200,
Fujitsu PY-ME16UG3,16 GB,DDR4-3200,
Fujitsu PY-ME25SJ,256 GB,DDR4-3200,
Fujitsu PY-ME32UG2,32 GB,DDR4-3200,
G.Skill Aegis,8 GB,DDR4-3200,
G.Skill Aegis,16 GB,DDR4-3200,
G.Skill Aegis DDR4 DDR4-2133 16GB,16 GB,DDR4-2133,
G.Skill Aegis DDR4 DDR4-2133 16GB,16 GB,DDR4-2133,
G.Skill Aegis DDR4 DDR4-2133 32GB,32 GB,DDR4-2133,
G.Skill Aegis DDR4 DDR4-2133 64GB,64 GB,DDR4-2133,
G.Skill Aegis DDR4 DDR4-2133 8GB,8 GB,DDR4-2133,
G.Skill Aegis DDR4 DDR4-2400 16GB,16 GB,DDR4-2400,
G.Skill Aegis DDR4 DDR4-2400 16GB,16 GB,DDR4-2400,
G.Skill Aegis DDR4 DDR4-2400 32GB,32 GB,DDR4-2400,
G.Skill Aegis DDR4 DDR4-2400 64GB,64 GB,DDR4-2400,
G.Skill Aegis DDR4 DDR4-2400 8GB,8 GB,DDR4-2400,
G.Skill Aegis DDR4 DDR4-2800 16GB,16 GB,DDR4-2800,
G.Skill Aegis DDR4 DDR4-2800 8GB,8 GB,DDR4-2800,
G.Skill AEGIS Series,32 GB,DDR4-3000,
G.Skill AEGIS Series,8 GB,DDR4-2400,
G.Skill AEGIS Series,16 GB,DDR4-2400,
G.Skill AEGIS Series,16 GB,DDR4-3000,
G.Skill Aegis Series,32 GB,DDR4-3200,
G.Skill Aegis Series,16 GB,DDR4-3200,
G.Skill Flare X (for AMD) DDR4-2133 16GB,16 GB,DDR4-2133,
G.Skill Flare X (for AMD) DDR4-2133 32GB,32 GB,DDR4-2133,
G.Skill Flare X (for AMD) DDR4-2133 32GB,32 GB,DDR4-2133,
G.Skill Flare X (for AMD) DDR4-2133 32GB,32 GB,DDR4-2133,
G.Skill Flare X (for AMD) DDR4-2133 32GB,32 GB,DDR4-2133,
G.Skill Flare X (for AMD) DDR4-2400 16GB,16 GB,DDR4-2400,
G.Skill Flare X (for AMD) DDR4-2400 16GB,16 GB,DDR4-2400,
G.Skill Flare X (for AMD) DDR4-2400 16GB,16 GB,DDR4-2400,
G.Skill Flare X (for AMD) DDR4-2400 16GB,16 GB,DDR4-2400,
G.Skill Flare X (for AMD) DDR4-2400 32GB,32 GB,DDR4-2400,
G.Skill Flare X (for AMD) DDR4-2400 32GB,32 GB,DDR4-2400,
G.Skill Flare X (for AMD) DDR4-2400 32GB,32 GB,DDR4-2400,
G.Skill Flare X (for AMD) DDR4-2400 32GB,32 GB,DDR4-2400,
G.Skill Flare X (for AMD) DDR4-2400 64GB,64 GB,DDR4-2400,
G.Skill Flare X Series,32 GB,DDR4-3200,
G.Skill Flare X Series,64 GB,DDR4-2400,
G.Skill Flare X Series,32 GB,DDR4-2400,
"G.Skill Flare X Series red, DDR4-2400 für Ryzen, CL 15 - 32 GB Quad-Kit",32 GB,DDR4-2400,
"G.Skill Flare X Series red, DDR4-2400 für Ryzen, CL 15 - 64 GB Quad-Kit",64 GB,DDR4-2400,
"G.Skill Flare X Series red, DDR4-2400 für Ryzen, CL 16 - 32 GB Dual-Kit",32 GB,DDR4-2400,
"G.Skill Flare X Series red, DDR4-2400 für Ryzen, CL 16 - 64 GB Quad-Kit",64 GB,DDR4-2400,
G.Skill Flare X Series black,32 GB,DDR4-2400,
G.Skill Flare X5,32 GB,DDR5-6000,
G.Skill FORTIS (for AMD) DDR4-2133 32GB,32 GB,DDR4-2133,
G.Skill FORTIS (for AMD) DDR4-2400 16GB,16 GB,DDR4-2400,
G.Skill FORTIS (for AMD) DDR4-2400 32GB,32 GB,DDR4-2400,
G.Skill FORTIS (for AMD) DDR4-2400 32GB,32 GB,DDR4-2400,
G.Skill FORTIS (for AMD) DDR4-2400 64GB,64 GB,DDR4-2400,
G.Skill Fortis Series,16 GB,DDR4-2400,
G.Skill Fortis Series,64 GB,DDR4-2400,
"G.Skill Fortis Series black, DDR4-2400 für Ryzen, CL 15 - 32 GB Dual-Kit",32 GB,DDR4-2400,
"G.Skill Fortis Series black, DDR4-2400 für Ryzen, CL 16 - 32 GB Quad-Kit",32 GB,DDR4-2400,
G.Skill NQ-Red DDR3-1600 CL9,4 GB,DDR3-1600,
G.Skill Ripjaws 4 blue DDR4-3000 CL15,16 GB,DDR4-3000,
G.Skill Ripjaws 4 DDR4-2133 16GB,16 GB,DDR4-2133,
G.Skill Ripjaws 4 DDR4-2133 16GB,16 GB,DDR4-2133,
G.Skill Ripjaws 4 DDR4-2133 32GB,32 GB,DDR4-2133,
G.Skill Ripjaws 4 DDR4-2133 32GB,32 GB,DDR4-2133,
G.Skill Ripjaws 4 DDR4-2133 64GB,64 GB,DDR4-2133,
G.Skill Ripjaws 4 DDR4-2133 64GB,64 GB,DDR4-2133,
G.Skill Ripjaws 4 DDR4-2133 8GB,8 GB,DDR4-2133,
G.Skill Ripjaws 4 DDR4-2133 CL15,16 GB,DDR4-2133,
G.Skill Ripjaws 4 DDR4-2133 CL15,64 GB,DDR4-2133,
G.Skill Ripjaws 4 DDR4-2133 CL15,32 GB,DDR4-2133,
G.Skill Ripjaws 4 DDR4-2133 CL15,64 GB,DDR4-2133,
G.Skill Ripjaws 4 DDR4-2133 CL15,32 GB,DDR4-2133,
G.Skill Ripjaws 4 DDR4-2133 CL15,16 GB,DDR4-2133,
G.Skill Ripjaws 4 DDR4-2133 CL15,8 GB,DDR4-2133,
G.Skill Ripjaws 4 DDR4-2400 128GB,128 GB,DDR4-2400,
G.Skill Ripjaws 4 DDR4-2400 16GB,16 GB,DDR4-2400,
G.Skill Ripjaws 4 DDR4-2400 16GB,16 GB,DDR4-2400,
G.Skill Ripjaws 4 DDR4-2400 16GB,16 GB,DDR4-2400,
G.Skill Ripjaws 4 DDR4-2400 16GB,16 GB,DDR4-2400,
G.Skill Ripjaws 4 DDR4-2400 16GB,16 GB,DDR4-2400,
G.Skill Ripjaws 4 DDR4-2400 32GB,32 GB,DDR4-2400,
G.Skill Ripjaws 4 DDR4-2400 32GB,32 GB,DDR4-2400,
G.Skill Ripjaws 4 DDR4-2400 32GB,32 GB,DDR4-2400,
G.Skill Ripjaws 4 DDR4-2400 64GB,64 GB,DDR4-2400,
G.Skill Ripjaws 4 DDR4-2400 8GB,8 GB,DDR4-2400,
G.Skill Ripjaws 4 DDR4-2666 16GB,16 GB,DDR4-2666,
G.Skill Ripjaws 4 DDR4-2666 16GB,16 GB,DDR4-2666,
G.Skill Ripjaws 4 DDR4-2666 16GB,16 GB,DDR4-2666,
G.Skill Ripjaws 4 DDR4-2666 32GB,32 GB,DDR4-2666,
G.Skill Ripjaws 4 DDR4-2666 32GB,32 GB,DDR4-2666,
G.Skill Ripjaws 4 DDR4-2666 32GB,32 GB,DDR4-2666,
G.Skill Ripjaws 4 DDR4-2666 64GB,64 GB,DDR4-2666,
G.Skill Ripjaws 4 DDR4-2666 8GB,8 GB,DDR4-2666,
G.Skill Ripjaws 4 DDR4-2800 128GB,128 GB,DDR4-2800,
G.Skill Ripjaws 4 DDR4-2800 16GB,16 GB,DDR4-2800,
G.Skill Ripjaws 4 DDR4-2800 16GB,16 GB,DDR4-2800,
G.Skill Ripjaws 4 DDR4-2800 32GB,32 GB,DDR4-2800,
G.Skill Ripjaws 4 DDR4-2800 32GB,32 GB,DDR4-2800,
G.Skill Ripjaws 4 DDR4-2800 64GB,64 GB,DDR4-2800,
G.Skill Ripjaws 4 DDR4-2800 8GB,8 GB,DDR4-2800,
G.Skill Ripjaws 4 DDR4-3000 16GB,16 GB,DDR4-3000,
G.Skill Ripjaws 4 DDR4-3000 16GB,16 GB,DDR4-3000,
G.Skill Ripjaws 4 DDR4-3000 16GB,16 GB,DDR4-3000,
G.Skill Ripjaws 4 DDR4-3000 16GB,16 GB,DDR4-3000,
G.Skill Ripjaws 4 DDR4-3000 32GB,32 GB,DDR4-3000,
G.Skill Ripjaws 4 DDR4-3000 32GB,32 GB,DDR4-3000,
G.Skill Ripjaws 4 DDR4-3000 32GB,32 GB,DDR4-3000,
G.Skill Ripjaws 4 DDR4-3000 8GB,8 GB,DDR4-3000,
G.Skill Ripjaws 4 DDR4-3000 8GB,8 GB,DDR4-3000,
G.Skill Ripjaws 4 DDR4-3000 CL15,16 GB,DDR4-3000,
G.Skill Ripjaws 4 DDR4-3000 CL15,16 GB,DDR4-3000,
G.Skill Ripjaws 4 DDR4-3000 CL15,16 GB,DDR4-3000,
G.Skill Ripjaws 4 DDR4-3200 8GB,8 GB,DDR4-3200,
G.Skill Ripjaws 4 DDR4-3200 8GB,8 GB,DDR4-3200,
G.Skill Ripjaws 4 DDR4-3300 16GB,16 GB,DDR4-3300,
G.Skill Ripjaws 4 DDR4-3300 16GB,16 GB,DDR4-3300,
G.Skill Ripjaws 4 DDR4-3333 16GB,16 GB,DDR4-3333,
G.Skill Ripjaws 4 DDR4-3400 16GB,16 GB,DDR4-3400,
"G.Skill RipJaws 4 Series, DDR4-3200, CL16 - 16 GB Kit",16 GB,DDR4-3200,
G.Skill Ripjaws DDR3-1066 CL7,8 GB,DDR3-1066,
G.Skill Ripjaws DDR3-1600 CL9,8 GB,DDR3-1600,
G.Skill RipJaws V,128 GB,DDR4-3600,
G.Skill Ripjaws V,64 GB,DDR4-3600,
G.Skill Ripjaws V,128 GB,DDR4-3200,
G.Skill RipJaws V,128 GB,DDR4-3600,
G.Skill Ripjaws V,64 GB,DDR4-3200,
G.Skill Ripjaws V,32 GB,DDR4-3600,
G.Skill RipJaws V,16 GB,DDR4-3600,
G.Skill RipJaws V,64 GB,DDR4-3600,
G.Skill RipJaws V,32 GB,DDR4-3600,
G.Skill Ripjaws V DDR4-2133 32GB,32 GB,DDR4-2133,
G.Skill Ripjaws V DDR4-2133 32GB,32 GB,DDR4-2133,
G.Skill Ripjaws V DDR4-2400 16GB,16 GB,DDR4-2400,
G.Skill Ripjaws V DDR4-2400 16GB,16 GB,DDR4-2400,
G.Skill Ripjaws V DDR4-2400 16GB,16 GB,DDR4-2400,
G.Skill Ripjaws V DDR4-2400 16GB,16 GB,DDR4-2400,
G.Skill Ripjaws V DDR4-2400 32GB,32 GB,DDR4-2400,
G.Skill Ripjaws V DDR4-2400 32GB,32 GB,DDR4-2400,
G.Skill Ripjaws V DDR4-2400 8GB,8 GB,DDR4-2400,
G.Skill Ripjaws V DDR4-2666 16GB,16 GB,DDR4-2666,
G.Skill Ripjaws V DDR4-2666 16GB,16 GB,DDR4-2666,
